"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0634"	"0"	"3"	"10"	"48"	"0"
"NLA06608-0635"	"3"	"15"	"57"	"210"	"36"
"NLA06608-0637"	"0"	"0"	"22"	"90"	"0"
"NLA06608-0641"	"0"	"0"	"0"	"6"	"0"
"NLA06608-0648"	"0"	"0"	"2"	"15"	"0"
"NLA06608-0649"	"0"	"0"	"42"	"219"	"0"
"NLA06608-0650"	"0"	"4"	"4"	"37"	"0"
"NLA06608-0651"	"6"	"15"	"24"	"44"	"0"
"NLA06608-0654"	"0"	"2"	"22"	"51"	"0"
"NLA06608-0657"	"0"	"0"	"2"	"17"	"0"
"NLA06608-0658"	"0"	"1"	"2"	"39"	"1"
"NLA06608-0659"	"0"	"0"	"3"	"27"	"0"
"NLA06608-0660"	"10"	"22"	"39"	"88"	"0"
"NLA06608-0661"	"0"	"0"	"0"	"202"	"0"
"NLA06608-0662"	"0"	"0"	"3"	"19"	"0"
"NLA06608-0663"	"0"	"0"	"0"	"2"	"0"
"NLA06608-0665"	"0"	"1"	"7"	"75"	"0"
"NLA06608-0671"	"0"	"0"	"0"	"24"	"1"
"NLA06608-0672"	"0"	"1"	"7"	"18"	"0"
"NLA06608-0674"	"0"	"0"	"18"	"111"	"0"
"NLA06608-0677"	"0"	"0"	"1"	"2"	"0"
"NLA06608-0678"	"0"	"0"	"7"	"24"	"0"
"NLA06608-0679"	"5"	"25"	"49"	"85"	"0"
"NLA06608-0681"	"0"	"0"	"2"	"21"	"0"
"NLA06608-0686"	"0"	"0"	"1"	"22"	"0"
"NLA06608-0687"	"1"	"14"	"43"	"138"	"18"
"NLA06608-0690"	"3"	"39"	"116"	"192"	"0"
"NLA06608-0692"	"1"	"3"	"6"	"29"	"12"
"NLA06608-0693"	"0"	"1"	"10"	"83"	"1"
"NLA06608-0696"	"0"	"0"	"1"	"109"	"1"
"NLA06608-0707"	"0"	"0"	"0"	"1"	"1"
"NLA06608-0709"	"1"	"4"	"23"	"75"	"0"
"NLA06608-0710"	"1"	"1"	"23"	"129"	"0"
